Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2020,3,1,00:00,UTC,14.5,-1,1.6,,3.6,0.2
2020,3,1,06:00,UTC,,,,0,,
2020,3,2,00:00,UTC,0.2,-1,3.3,,5.7,2.3
2020,3,2,06:00,UTC,,,,2.1,,
2020,3,3,00:00,UTC,0.1,-1,2.4,,3.7,0.3
2020,3,3,06:00,UTC,,,,-2.6,,
2020,3,4,00:00,UTC,12.7,-1,2,,3,0.4
2020,3,4,06:00,UTC,,,,0.9,,
2020,3,5,00:00,UTC,2.8,-1,2.9,,3.7,1.8
2020,3,5,06:00,UTC,,,,2.2,,
2020,3,6,00:00,UTC,-1,-1,2.1,,6.1,0.6
2020,3,6,06:00,UTC,,,,-0.1,,
2020,3,7,00:00,UTC,-1,-1,1.1,,3.8,-2.2
2020,3,7,06:00,UTC,,,,-6.3,,
2020,3,8,00:00,UTC,0.1,-1,1.2,,4.3,-2.9
2020,3,8,06:00,UTC,,,,-7.3,,
2020,3,9,00:00,UTC,2.5,-1,3.9,,5.3,2.4
2020,3,9,06:00,UTC,,,,0.7,,
2020,3,10,00:00,UTC,5.7,-1,3.6,,4.4,2.9
2020,3,10,06:00,UTC,,,,2.7,,
2020,3,11,00:00,UTC,8.9,-1,3.3,,3.9,2.8
2020,3,11,06:00,UTC,,,,1,,
2020,3,12,00:00,UTC,8.6,-1,3.9,,7.3,2.5
2020,3,12,06:00,UTC,,,,1.9,,
2020,3,13,00:00,UTC,-1,0,1.1,,5.1,-0.6
2020,3,13,06:00,UTC,,,,-0.2,,
2020,3,14,00:00,UTC,-1,-1,-2.4,,1,-5.6
2020,3,14,06:00,UTC,,,,-7.9,,
2020,3,15,00:00,UTC,2.7,-1,1.1,,4.6,-5
2020,3,15,06:00,UTC,,,,-7.9,,
2020,3,16,00:00,UTC,0.6,-1,3.2,,6.4,1.3
2020,3,16,06:00,UTC,,,,1.2,,
2020,3,17,00:00,UTC,-1,-1,1.7,,4.4,-4.4
2020,3,17,06:00,UTC,,,,-8.3,,
2020,3,18,00:00,UTC,2.4,-1,4.6,,7.3,3.4
2020,3,18,06:00,UTC,,,,2.6,,
2020,3,19,00:00,UTC,-1,-1,4.2,,9.3,0.8
2020,3,19,06:00,UTC,,,,-0.2,,
2020,3,20,00:00,UTC,-1,-1,0.6,,5.1,-1
2020,3,20,06:00,UTC,,,,-2.9,,
2020,3,21,00:00,UTC,1.7,-1,-1.9,,2.1,-6.1
2020,3,21,06:00,UTC,,,,-9.1,,
2020,3,22,00:00,UTC,-1,-1,-1.1,,2.7,-6.7
2020,3,22,06:00,UTC,,,,-11,,
2020,3,23,00:00,UTC,-1,-1,1.6,,4.3,-1.5
2020,3,23,06:00,UTC,,,,-6.4,,
2020,3,24,00:00,UTC,-1,-1,3.6,,6.5,1.6
2020,3,24,06:00,UTC,,,,0.3,,
2020,3,25,00:00,UTC,-1,-1,5.1,,7.7,2.9
2020,3,25,06:00,UTC,,,,1.8,,
2020,3,26,00:00,UTC,-1,-1,4.9,,9,2.7
2020,3,26,06:00,UTC,,,,1.3,,
2020,3,27,00:00,UTC,-1,-1,3.9,,7.2,0.8
2020,3,27,06:00,UTC,,,,-2.1,,
2020,3,28,00:00,UTC,-1,-1,5.6,,11.4,1.8
2020,3,28,06:00,UTC,,,,0,,
2020,3,29,00:00,UTC,-1,-1,-0.2,,5.1,-2.7
2020,3,29,06:00,UTC,,,,-4.8,,
2020,3,30,00:00,UTC,-1,-1,-1.2,,2.9,-4.2
2020,3,30,06:00,UTC,,,,-7.9,,
2020,3,31,00:00,UTC,0.6,-1,-0.7,,3,-6.4
2020,3,31,06:00,UTC,,,,-11.2,,
2020,4,1,00:00,UTC,0.9,-1,3.6,,9,0.5
2020,4,1,06:00,UTC,,,,-1.6,,
2020,4,2,00:00,UTC,7.5,-1,4.5,,7.7,0.8
2020,4,2,06:00,UTC,,,,-1.9,,
2020,4,3,00:00,UTC,1.2,2,2.2,,6.3,0.1
2020,4,3,06:00,UTC,,,,0,,
2020,4,4,00:00,UTC,-1,-1,2.5,,8,-1.4
2020,4,4,06:00,UTC,,,,-3.8,,
2020,4,5,00:00,UTC,0.2,-1,3,,8.4,-2.4
2020,4,5,06:00,UTC,,,,-4.8,,
2020,4,6,00:00,UTC,-1,-1,6,,10.7,1.7
2020,4,6,06:00,UTC,,,,-2.9,,
2020,4,7,00:00,UTC,0.9,-1,7.6,,13.2,4.6
2020,4,7,06:00,UTC,,,,1.2,,
2020,4,8,00:00,UTC,-1,-1,6.4,,11.1,1.8
2020,4,8,06:00,UTC,,,,-0.1,,
2020,4,9,00:00,UTC,0.5,-1,6,,10.9,4.2
2020,4,9,06:00,UTC,,,,2.7,,
2020,4,10,00:00,UTC,-1,-1,3.2,,9.2,-1
2020,4,10,06:00,UTC,,,,-2.9,,
2020,4,11,00:00,UTC,0.3,-1,3.7,,9.7,-1.7
2020,4,11,06:00,UTC,,,,-4,,
2020,4,12,00:00,UTC,3.6,-1,4.2,,6,1.2
2020,4,12,06:00,UTC,,,,-3.1,,
2020,4,13,00:00,UTC,0.8,-1,4.2,,8.4,1.1
2020,4,13,06:00,UTC,,,,2.3,,
2020,4,14,00:00,UTC,3.9,-1,2,,6.8,0
2020,4,14,06:00,UTC,,,,-0.9,,
2020,4,15,00:00,UTC,14.8,1,3,,7.7,-0.6
2020,4,15,06:00,UTC,,,,-3.2,,
2020,4,16,00:00,UTC,3.2,4,2.7,,7.4,0.2
2020,4,16,06:00,UTC,,,,0,,
2020,4,17,00:00,UTC,-1,-1,4.2,,8.2,0.5
2020,4,17,06:00,UTC,,,,-1,,
2020,4,18,00:00,UTC,-1,-1,5.9,,10.4,1.6
2020,4,18,06:00,UTC,,,,-0.1,,
2020,4,19,00:00,UTC,-1,-1,6.4,,11,1.9
2020,4,19,06:00,UTC,,,,0.5,,
2020,4,20,00:00,UTC,-1,-1,9.3,,12.9,5.8
2020,4,20,06:00,UTC,,,,4.4,,
2020,4,21,00:00,UTC,-1,-1,10.6,,16.6,5
2020,4,21,06:00,UTC,,,,1.4,,
2020,4,22,00:00,UTC,-1,-1,8,,12.3,5.2
2020,4,22,06:00,UTC,,,,-0.7,,
2020,4,23,00:00,UTC,-1,-1,8.6,,15.3,1.9
2020,4,23,06:00,UTC,,,,-2.9,,
2020,4,24,00:00,UTC,-1,-1,6.6,,10.3,3.9
2020,4,24,06:00,UTC,,,,1.5,,
2020,4,25,00:00,UTC,-1,-1,4.4,,10.1,-1.6
2020,4,25,06:00,UTC,,,,-4.2,,
2020,4,26,00:00,UTC,-1,-1,5,,10,-1.3
2020,4,26,06:00,UTC,,,,-3.6,,
2020,4,27,00:00,UTC,-1,-1,4.9,,8.8,0.3
2020,4,27,06:00,UTC,,,,-2.7,,
2020,4,28,00:00,UTC,0.5,-1,4.4,,7,3.1
2020,4,28,06:00,UTC,,,,1,,
2020,4,29,00:00,UTC,5.7,-1,2.4,,6.8,1.1
2020,4,29,06:00,UTC,,,,0.1,,
2020,4,30,00:00,UTC,-1,-1,3.4,,7.6,-1.9
2020,4,30,06:00,UTC,,,,-6.2,,
2020,5,1,00:00,UTC,-1,-1,6.2,,9,2.7
2020,5,1,06:00,UTC,,,,0.5,,
2020,5,2,00:00,UTC,7.6,-1,8.5,,12.4,5.9
2020,5,2,06:00,UTC,,,,4.8,,
2020,5,3,00:00,UTC,-1,-1,8.7,,12.9,6.9
2020,5,3,06:00,UTC,,,,6.9,,
2020,5,4,00:00,UTC,-1,-1,6.4,,9.2,4.4
2020,5,4,06:00,UTC,,,,4.9,,
2020,5,5,00:00,UTC,-1,-1,10.1,,16.1,2.4
2020,5,5,06:00,UTC,,,,-1.8,,
2020,5,6,00:00,UTC,-1,-1,11.2,,17.4,6.3
2020,5,6,06:00,UTC,,,,1.4,,
2020,5,7,00:00,UTC,-1,-1,8.8,,14.7,2.6
2020,5,7,06:00,UTC,,,,0,,
2020,5,8,00:00,UTC,-1,-1,8.2,,13.1,2.4
2020,5,8,06:00,UTC,,,,-0.3,,
2020,5,9,00:00,UTC,-1,-1,10,,15.3,4.1
2020,5,9,06:00,UTC,,,,1,,
2020,5,10,00:00,UTC,0.8,-1,10.2,,14.5,3.7
2020,5,10,06:00,UTC,,,,-3.3,,
2020,5,11,00:00,UTC,11.8,-1,4.8,,12.7,0.6
2020,5,11,06:00,UTC,,,,6.3,,
2020,5,12,00:00,UTC,1,-1,5.1,,10.6,0.1
2020,5,12,06:00,UTC,,,,-1.4,,
2020,5,13,00:00,UTC,1.6,-1,4.2,,7.7,0.4
2020,5,13,06:00,UTC,,,,-4.1,,
2020,5,14,00:00,UTC,7.4,-1,6.1,,11.5,-0.3
2020,5,14,06:00,UTC,,,,-3.8,,
2020,5,15,00:00,UTC,4,-1,5.5,,10.3,0.2
2020,5,15,06:00,UTC,,,,0,,
2020,5,16,00:00,UTC,4.2,-1,5.4,,9.6,3.5
2020,5,16,06:00,UTC,,,,-0.8,,
2020,5,17,00:00,UTC,0.1,-1,5.4,,10.3,0.5
2020,5,17,06:00,UTC,,,,-2,,
2020,5,18,00:00,UTC,0.6,-1,7.1,,13.8,1.3
2020,5,18,06:00,UTC,,,,-1.7,,
2020,5,19,00:00,UTC,1.6,-1,7.1,,13.8,2.5
2020,5,19,06:00,UTC,,,,-0.8,,
2020,5,20,00:00,UTC,-1,-1,8.2,,13.6,2.1
2020,5,20,06:00,UTC,,,,-0.3,,
2020,5,21,00:00,UTC,-1,-1,10.9,,16,5.2
2020,5,21,06:00,UTC,,,,2.7,,
2020,5,22,00:00,UTC,-1,-1,11.4,,16.2,7.5
2020,5,22,06:00,UTC,,,,5.8,,
2020,5,23,00:00,UTC,-1,-1,12.4,,17.9,6
2020,5,23,06:00,UTC,,,,0.1,,
2020,5,24,00:00,UTC,-1,-1,11.1,,14,9.1
2020,5,24,06:00,UTC,,,,8.1,,
2020,5,25,00:00,UTC,0.1,-1,14.8,,19.3,10.1
2020,5,25,06:00,UTC,,,,6.7,,
2020,5,26,00:00,UTC,1,-1,16.9,,22.6,8.6
2020,5,26,06:00,UTC,,,,3.2,,
2020,5,27,00:00,UTC,8.5,-1,15.3,,20.5,10
2020,5,27,06:00,UTC,,,,4,,
2020,5,28,00:00,UTC,-1,-1,13.7,,18.7,10.5
2020,5,28,06:00,UTC,,,,10.4,,
2020,5,29,00:00,UTC,-1,-1,13.7,,19,8.3
2020,5,29,06:00,UTC,,,,4.9,,
2020,5,30,00:00,UTC,-1,-1,16,,20.7,10.5
2020,5,30,06:00,UTC,,,,5.1,,
2020,5,31,00:00,UTC,-1,-1,15.5,,20.2,11.3
2020,5,31,06:00,UTC,,,,7.6,,
2020,6,1,00:00,UTC,-1,-1,12.7,,17.9,10.9
2020,6,1,06:00,UTC,,,,5.4,,
2020,6,2,00:00,UTC,-1,-1,12.7,,15.8,6.3
2020,6,2,06:00,UTC,,,,1.8,,
2020,6,3,00:00,UTC,-1,-1,13.7,,17.3,6.6
2020,6,3,06:00,UTC,,,,1.1,,
2020,6,4,00:00,UTC,4.7,-1,14.2,,19.4,11.1
2020,6,4,06:00,UTC,,,,5.3,,
2020,6,5,00:00,UTC,8,-1,13.5,,19.3,10.9
2020,6,5,06:00,UTC,,,,10.6,,
2020,6,6,00:00,UTC,2.6,-1,13.7,,18.4,11.2
2020,6,6,06:00,UTC,,,,10.6,,
2020,6,7,00:00,UTC,-1,-1,14.6,,19.9,11
2020,6,7,06:00,UTC,,,,8.8,,
2020,6,8,00:00,UTC,1.2,-1,15.4,,19.3,13.5
2020,6,8,06:00,UTC,,,,9.7,,
2020,6,9,00:00,UTC,0,-1,15.2,,19.4,12.7
2020,6,9,06:00,UTC,,,,12.3,,
2020,6,10,00:00,UTC,-1,-1,18.5,,23.8,11.7
2020,6,10,06:00,UTC,,,,7.5,,
2020,6,11,00:00,UTC,-1,-1,17.4,,23.4,14.3
2020,6,11,06:00,UTC,,,,10,,
2020,6,12,00:00,UTC,-1,-1,18.4,,22.5,13.2
2020,6,12,06:00,UTC,,,,10.3,,
2020,6,13,00:00,UTC,-1,-1,17.9,,22.7,10.9
2020,6,13,06:00,UTC,,,,7.4,,
2020,6,14,00:00,UTC,-1,-1,18.4,,22.4,10.6
2020,6,14,06:00,UTC,,,,6,,
2020,6,15,00:00,UTC,-1,-1,19.6,,24.1,13.6
2020,6,15,06:00,UTC,,,,8.2,,
2020,6,16,00:00,UTC,0.5,-1,21.3,,25.4,16.6
2020,6,16,06:00,UTC,,,,14.3,,
2020,6,17,00:00,UTC,25,-1,21.1,,25.3,16.5
2020,6,17,06:00,UTC,,,,14.5,,
2020,6,18,00:00,UTC,-1,-1,20.2,,24.4,17.7
2020,6,18,06:00,UTC,,,,15.4,,
2020,6,19,00:00,UTC,-1,-1,21.8,,25.4,16.6
2020,6,19,06:00,UTC,,,,13.5,,
2020,6,20,00:00,UTC,-1,-1,19.3,,23.2,17.5
2020,6,20,06:00,UTC,,,,16.5,,
2020,6,21,00:00,UTC,-1,-1,17.4,,20.1,13.7
2020,6,21,06:00,UTC,,,,10,,
2020,6,22,00:00,UTC,-1,-1,17.5,,21.7,10.5
2020,6,22,06:00,UTC,,,,6.2,,
2020,6,23,00:00,UTC,-1,-1,20.1,,24.7,11.8
2020,6,23,06:00,UTC,,,,7,,
2020,6,24,00:00,UTC,-1,-1,22.5,,27.4,15.3
2020,6,24,06:00,UTC,,,,10.5,,
2020,6,25,00:00,UTC,-1,-1,24,,29.4,17.5
2020,6,25,06:00,UTC,,,,12.4,,
2020,6,26,00:00,UTC,-1,-1,22.6,,27.7,16.9
2020,6,26,06:00,UTC,,,,11.4,,
2020,6,27,00:00,UTC,-1,-1,23.6,,28.8,16.4
2020,6,27,06:00,UTC,,,,10.6,,
2020,6,28,00:00,UTC,-1,-1,21.4,,25.6,18.7
2020,6,28,06:00,UTC,,,,13.3,,
2020,6,29,00:00,UTC,9.9,-1,18.5,,20.9,17.2
2020,6,29,06:00,UTC,,,,16.1,,
2020,6,30,00:00,UTC,26.3,-1,15.7,,18.3,13.1
2020,6,30,06:00,UTC,,,,16.1,,
2020,7,1,00:00,UTC,1.4,-1,16.2,,18.9,14.8
2020,7,1,06:00,UTC,,,,14,,
2020,7,2,00:00,UTC,1.4,-1,16,,19.7,13
2020,7,2,06:00,UTC,,,,10.6,,
2020,7,3,00:00,UTC,-1,-1,16.9,,19.8,13.8
2020,7,3,06:00,UTC,,,,11.9,,
2020,7,4,00:00,UTC,10.5,-1,15.2,,17.8,13.7
2020,7,4,06:00,UTC,,,,10.6,,
2020,7,5,00:00,UTC,11.1,-1,15.5,,19,13.1
2020,7,5,06:00,UTC,,,,13.2,,
2020,7,6,00:00,UTC,0.3,-1,16.1,,18.5,15
2020,7,6,06:00,UTC,,,,14.6,,
2020,7,7,00:00,UTC,3.2,-1,14.5,,17.3,13.1
2020,7,7,06:00,UTC,,,,11.8,,
2020,7,8,00:00,UTC,1.3,-1,14.5,,19.1,11.8
2020,7,8,06:00,UTC,,,,7.7,,
2020,7,9,00:00,UTC,0.4,-1,14.1,,17.6,10.4
2020,7,9,06:00,UTC,,,,6.4,,
2020,7,10,00:00,UTC,7.7,-1,15.8,,19.6,11.9
2020,7,10,06:00,UTC,,,,8.5,,
2020,7,11,00:00,UTC,5.7,-1,13.9,,16.5,13
2020,7,11,06:00,UTC,,,,10.4,,
2020,7,12,00:00,UTC,-1,-1,15.6,,20.1,10.7
2020,7,12,06:00,UTC,,,,6.6,,
2020,7,13,00:00,UTC,18.6,-1,14.8,,18.8,12.4
2020,7,13,06:00,UTC,,,,8.5,,
2020,7,14,00:00,UTC,-1,-1,15,,19.9,8.8
2020,7,14,06:00,UTC,,,,6.3,,
2020,7,15,00:00,UTC,-1,-1,17.6,,22.8,10
2020,7,15,06:00,UTC,,,,6.8,,
2020,7,16,00:00,UTC,-1,-1,19.2,,24.5,11.5
2020,7,16,06:00,UTC,,,,8.2,,
2020,7,17,00:00,UTC,-1,-1,21,,25.7,13.4
2020,7,17,06:00,UTC,,,,9.5,,
2020,7,18,00:00,UTC,-1,-1,20.6,,24.5,15.8
2020,7,18,06:00,UTC,,,,11.7,,
2020,7,19,00:00,UTC,-1,-1,20.6,,24.7,15.5
2020,7,19,06:00,UTC,,,,12.1,,
2020,7,20,00:00,UTC,-1,-1,20.9,,25.2,17.8
2020,7,20,06:00,UTC,,,,15.3,,
2020,7,21,00:00,UTC,0,-1,19.3,,23.2,16.1
2020,7,21,06:00,UTC,,,,12.7,,
2020,7,22,00:00,UTC,-1,-1,15.3,,20.5,12.6
2020,7,22,06:00,UTC,,,,10.7,,
2020,7,23,00:00,UTC,1.7,-1,14.2,,17.9,11.8
2020,7,23,06:00,UTC,,,,10.7,,
2020,7,24,00:00,UTC,3.7,-1,14.4,,18.4,11.3
2020,7,24,06:00,UTC,,,,9,,
2020,7,25,00:00,UTC,1.5,-1,15.3,,19.5,13.4
2020,7,25,06:00,UTC,,,,12.8,,
2020,7,26,00:00,UTC,-1,-1,17.7,,23.1,11.8
2020,7,26,06:00,UTC,,,,7.5,,
2020,7,27,00:00,UTC,7.9,-1,19.3,,22.2,15.7
2020,7,27,06:00,UTC,,,,11.1,,
2020,7,28,00:00,UTC,7.4,-1,17.5,,19.9,16.6
2020,7,28,06:00,UTC,,,,16.4,,
2020,7,29,00:00,UTC,15,-1,16.9,,20.9,15.8
2020,7,29,06:00,UTC,,,,15.2,,
2020,7,30,00:00,UTC,-1,-1,15.9,,19.3,13.1
2020,7,30,06:00,UTC,,,,9.4,,
2020,7,31,00:00,UTC,-1,-1,17.8,,22.8,12.2
2020,7,31,06:00,UTC,,,,9,,
2020,8,1,00:00,UTC,-1,-1,16.7,,21.2,10.9
2020,8,1,06:00,UTC,,,,7.6,,
2020,8,2,00:00,UTC,1,-1,16.6,,20.9,13.3
2020,8,2,06:00,UTC,,,,10.7,,
2020,8,3,00:00,UTC,8.3,-1,16.5,,20.7,15.4
2020,8,3,06:00,UTC,,,,13.3,,
2020,8,4,00:00,UTC,0.3,-1,16.1,,18.9,13.6
2020,8,4,06:00,UTC,,,,9.6,,
2020,8,5,00:00,UTC,0.1,-1,16.9,,21.7,12.6
2020,8,5,06:00,UTC,,,,10.8,,
2020,8,6,00:00,UTC,-1,-1,17.2,,20.1,14.3
2020,8,6,06:00,UTC,,,,10.2,,
2020,8,7,00:00,UTC,-1,-1,19,,23.6,14.2
2020,8,7,06:00,UTC,,,,10.7,,
2020,8,8,00:00,UTC,-1,-1,21.6,,26.6,15.6
2020,8,8,06:00,UTC,,,,12,,
2020,8,9,00:00,UTC,-1,-1,21.7,,26.9,15.8
2020,8,9,06:00,UTC,,,,11.6,,
2020,8,10,00:00,UTC,-1,-1,18.9,,23.6,14.9
2020,8,10,06:00,UTC,,,,13.4,,
2020,8,11,00:00,UTC,-1,-1,15.6,,20.1,11.5
2020,8,11,06:00,UTC,,,,7.7,,
2020,8,12,00:00,UTC,4.7,-1,14.8,,19.1,9.8
2020,8,12,06:00,UTC,,,,5.3,,
2020,8,13,00:00,UTC,-1,-1,14.8,,17.8,13.4
2020,8,13,06:00,UTC,,,,13,,
2020,8,14,00:00,UTC,-1,-1,16.9,,20.8,11.1
2020,8,14,06:00,UTC,,,,7.8,,
2020,8,15,00:00,UTC,-1,-1,19.2,,24.3,14.5
2020,8,15,06:00,UTC,,,,10.4,,
2020,8,16,00:00,UTC,-1,-1,21,,27.1,16.7
2020,8,16,06:00,UTC,,,,13.2,,
2020,8,17,00:00,UTC,-1,-1,17.2,,24.1,9.8
2020,8,17,06:00,UTC,,,,5.6,,
2020,8,18,00:00,UTC,-1,-1,17.5,,22.5,9.1
2020,8,18,06:00,UTC,,,,4.8,,
2020,8,19,00:00,UTC,-1,-1,19,,22.6,14.5
2020,8,19,06:00,UTC,,,,10.1,,
2020,8,20,00:00,UTC,-1,-1,19.4,,23.7,13.4
2020,8,20,06:00,UTC,,,,8.9,,
2020,8,21,00:00,UTC,1.9,-1,20.3,,24.2,15.5
2020,8,21,06:00,UTC,,,,10.4,,
2020,8,22,00:00,UTC,13.8,-1,18.1,,20.9,16.9
2020,8,22,06:00,UTC,,,,15.8,,
2020,8,23,00:00,UTC,20.5,-1,19.8,,22.4,17.5
2020,8,23,06:00,UTC,,,,17.3,,
2020,8,24,00:00,UTC,8,-1,16.1,,21.2,13.8
2020,8,24,06:00,UTC,,,,12.6,,
2020,8,25,00:00,UTC,0.3,-1,15.1,,19.4,10.6
2020,8,25,06:00,UTC,,,,7.7,,
